code1,code2,distance
ad,ad,0.0
ad,ae,0.6364
ad,af,0.5182
ad,ag,0.4963
ad,ai,0.645
ad,al,0.6462
ad,am,0.5565
ad,ao,0.5307
ad,aq,0.7104
ad,ar,0.7087
ad,as,0.6233
ad,at,0.577
ad,au,0.6579
ad,aw,0.6753
ad,ax,0.5751
ad,az,0.5987
ad,ba,0.5387
ad,bb,0.494
ad,bd,0.6246
ad,be,0.4011
ad,bf,0.5921
ad,bg,0.6435
ad,bh,0.6361
ad,bi,0.59
ad,bj,0.4557
ad,bl,0.7586
ad,bm,0.4683
ad,bn,0.6355
ad,bo,0.5798
ad,bq,0.7087
ad,br,0.6126
ad,bs,0.6037
ad,bt,0.5716
ad,bv,0.5642
ad,bw,0.6675
ad,by,0.5068
ad,bz,0.4832
ad,ca,0.6312
ad,cc,0.701
ad,cd,0.6836
ad,cf,0.5905
ad,cg,0.5027
ad,ch,0.6374
ad,ci,0.6982
ad,ck,0.6289
ad,cl,0.5859
ad,cm,0.4586
ad,cn,0.6203
ad,co,0.5332
ad,cr,0.6012
ad,cu,0.6698
ad,cv,0.6541
ad,cw,0.6636
ad,cx,0.6012
ad,cy,0.8044
ad,cz,0.5841
ad,de,0.5826
ad,dj,0.7062
ad,dk,0.5157
ad,dm,0.5871
ad,do,0.5567
ad,dz,0.6634
ad,ec,0.558
ad,ee,0.6972
ad,eg,0.6103
ad,eh,0.6409
ad,er,0.5979
ad,es,0.5618
ad,et,0.5894
ad,fi,0.7423
ad,fj,0.6362
ad,fk,0.6255
ad,fm,0.7202
ad,fo,0.709
ad,fr,0.4283
ad,ga,0.6036
ad,gb-eng,0.7282
ad,gb-nir,0.7492
ad,gb-sct,0.7173
ad,gb-wls,0.6199
ad,gb,0.5546
ad,gd,0.4394
ad,ge,0.7185
ad,gf,0.6597
ad,gg,0.7151
ad,gh,0.531
ad,gi,0.7058
ad,gl,0.6297
ad,gm,0.4905
ad,gn,0.5032
ad,gp,0.5482
ad,gq,0.5667
ad,gr,0.6811
ad,gs,0.6128
ad,gt,0.63
ad,gu,0.6219
ad,gw,0.5296
ad,gy,0.5746
ad,hk,0.5964
ad,hm,0.62
ad,hn,0.7837
ad,hr,0.609
ad,ht,0.5065
ad,hu,0.6113
ad,id,0.706
ad,ie,0.5341
ad,il,0.7411
ad,im,0.4931
ad,in,0.6331
ad,io,0.5861
ad,iq,0.6108
ad,ir,0.6306
ad,is,0.6132
ad,it,0.5076
ad,je,0.7147
ad,jm,0.588
ad,jo,0.6235
ad,jp,0.8108
ad,ke,0.5814
ad,kg,0.6223
ad,kh,0.5703
ad,ki,0.5559
ad,km,0.5609
ad,kn,0.495
ad,kp,0.5756
ad,kr,0.7598
ad,kw,0.5583
ad,ky,0.625
ad,kz,0.7175
ad,la,0.5009
ad,lb,0.6165
ad,lc,0.7347
ad,li,0.541
ad,lk,0.5047
ad,lr,0.5505
ad,ls,0.6601
ad,lt,0.5491
ad,lu,0.682
ad,lv,0.6036
ad,ly,0.5975
ad,ma,0.5865
ad,mc,0.6423
ad,md,0.2411
ad,me,0.571
ad,mf,0.4283
ad,mg,0.671
ad,mh,0.647
ad,mk,0.5571
ad,ml,0.3431
ad,mm,0.5428
ad,mn,0.6226
ad,mo,0.6452
ad,mp,0.6153
ad,mq,0.6353
ad,mr,0.5834
ad,ms,0.6329
ad,mt,0.6096
ad,mu,0.5536
ad,mv,0.4949
ad,mw,0.5115
ad,mx,0.4223
ad,my,0.5633
ad,mz,0.5815
ad,na,0.5515
ad,nc,0.5897
ad,ne,0.6346
ad,nf,0.6045
ad,ng,0.6304
ad,ni,0.7336
ad,nl,0.6285
ad,no,0.5642
ad,np,0.5292
ad,nr,0.674
ad,nu,0.591
ad,nz,0.6516
ad,om,0.581
ad,pa,0.6268
ad,pe,0.5132
ad,pf,0.6064
ad,pg,0.5027
ad,ph,0.6157
ad,pk,0.7212
ad,pl,0.6429
ad,pm,0.6282
ad,pn,0.6069
ad,pr,0.5723
ad,ps,0.6584
ad,pt,0.5109
ad,pw,0.7542
ad,py,0.645
ad,qa,0.6689
ad,re,0.6324
ad,ro,0.2352
ad,rs,0.5995
ad,ru,0.6383
ad,rw,0.6372
ad,sa,0.6517
ad,sb,0.5919
ad,sc,0.5283
ad,sd,0.5677
ad,se,0.5921
ad,sg,0.6818
ad,sh,0.6397
ad,si,0.68
ad,sj,0.5642
ad,sk,0.6286
ad,sl,0.6927
ad,sm,0.7113
ad,sn,0.401
ad,so,0.7195
ad,sr,0.5536
ad,ss,0.5776
ad,st,0.6054
ad,sv,0.7122
ad,sx,0.6169
ad,sy,0.6543
ad,sz,0.5311
ad,tc,0.6382
ad,td,0.2441
ad,tf,0.6451
ad,tg,0.5723
ad,th,0.5861
ad,tj,0.6656
ad,tk,0.5516
ad,tl,0.5335
ad,tm,0.6631
ad,tn,0.6098
ad,to,0.6278
ad,tr,0.6181
ad,tt,0.4996
ad,tv,0.7
ad,tw,0.5741
ad,tz,0.6475
ad,ua,0.634
ad,ug,0.5584
ad,um,0.5335
ad,us,0.5335
ad,uy,0.7091
ad,uz,0.6687
ad,va,0.7444
ad,vc,0.4859
ad,ve,0.4987
ad,vg,0.6175
ad,vi,0.7171
ad,vn,0.6487
ad,vu,0.5195
ad,wf,0.4845
ad,ws,0.4543
ad,xk,0.6203
ad,ye,0.6222
ad,yt,0.7539
ad,za,0.5516
ad,zm,0.6021
ad,zw,0.5777
ae,ad,0.6364
ae,ae,0.0
ae,af,0.5304
ae,ag,0.5371
ae,ai,0.587
ae,al,0.7348
ae,am,0.6829
ae,ao,0.5641
ae,aq,0.6665
ae,ar,0.6227
ae,as,0.5338
ae,at,0.4718
ae,au,0.6271
ae,aw,0.6605
ae,ax,0.6062
ae,az,0.5641
ae,ba,0.6457
ae,bb,0.6627
ae,bd,0.6274
ae,be,0.6349
ae,bf,0.6388
ae,bg,0.6867
ae,bh,0.723
ae,bi,0.6018
ae,bj,0.6414
ae,bl,0.757
ae,bm,0.5404
ae,bn,0.638
ae,bo,0.5284
ae,bq,0.6476
ae,br,0.5909
ae,bs,0.5363
ae,bt,0.6331
ae,bv,0.571
ae,bw,0.6991
ae,by,0.5672
ae,bz,0.58
ae,ca,0.7255
ae,cc,0.6665
ae,cd,0.6605
ae,cf,0.5822
ae,cg,0.6287
ae,ch,0.6618
ae,ci,0.6111
ae,ck,0.6076
ae,cl,0.6187
ae,cm,0.6368
ae,cn,0.7085
ae,co,0.6193
ae,cr,0.667
ae,cu,0.6093
ae,cv,0.6135
ae,cw,0.6562
ae,cx,0.5631
ae,cy,0.8019
ae,cz,0.6459
ae,de,0.664
ae,dj,0.5915
ae,dk,0.5493
ae,dm,0.5512
ae,do,0.5175
